Samples,Groups,2-Phosphoglycerate,Acetyl CoA,Acetyl-L-carnitine,Acetylcholine,Adenine,Adenosine,Adenosine 5'-Diphosphate (ADP),Adenosine 5'-triphosphate (ATP),Adenosine-Monophosphate (AMP),Alanine,alphaKetoglutarate,Arachidonic acid,Arginine,Argininosuccinate,Asparagine,Aspartate,Beta-Alanine,Beta-Nicotinamide Adenine Dinucleotide,Betaine,Butyric acid,Carnitine,Carnosine,Choline,cis Aconitate,Citrate,Citrulline,Coenzyme A,Creatine,Creatinine,D-Glucosamine 6-phosphate,D-Ribose 5-Phosphate,Dihydronicotinamide-adenine dinucleotide phosphate (NADPH),Dihydroxyacetone Phosphate (DHAP),FAD (Flavin adenine dinucleotide),Fructose 6-Phosphate,Gamma-Aminobutyrate,gamma-Glutamylcysteine,Glucose 6-Phosphate,Glutamate,Glutamine,Glutathione disulfide (GSSG),Glutathione Reduced (GSH),Glycerol 3-Phosphate,Glycine,Histidine,Homocystine,Hydroxyproline,Hypotaurine,Isoleucine,Kynurenine,Lactate,Leucine,Linoleic acid,Linolenic acid,Lysine,Malate,Methionine,Myristic acid,N-acetyl-aspartyl-glutamate (NAAG) (nv),N-Acetyl-L-glutamine,N-Acetylaspartate,Nicotinamide adenine dinucleotide (NAD+),Nicotinamide adenine dinucleotide phosphate (NADP+),Nicotinamide adenine dinucleotide reduced (NADH),O-Phosphoethanolamine,Octanoic acid,Oleic acid,Palmitate,Pantothenate,Phenylalanine,Phosphocreatine,Phosphoenolpyruvate,Phosphoserine,Proline,Pyruvate,S-Adenosylhomocysteine,S-Adenosylmethionine,Sedoheptulose-7-phosphate (D),Serine,Taurine,Threonine,Tryptophan,Tyrosine,Valine
Mutant 1_3,M,1660537069,1032523448,2.61397E+12,32376035862,1799068966,39198642759,26543464828,4.11545E+11,24523142069,5.23034E+11,28648993103,843650000,97683420690,1849736897,30296027586,88387194483,5.19841E+11,66184474483,73997246897,5455789310,1.06427E+12,55320862.07,1.76128E+11,617486896.6,1.09708E+11,316482069,818271034.5,8.36524E+12,13977059310,417523103.4,448100344.8,5455373448,302109655.2,3309068276,976004827.6,2.35293E+11,89756379.31,6424127586,1.0694E+12,4.61883E+12,1626583276,8.75684E+11,1364275000,26318019310,82133561379,27249310.34,8120162069,8452441379,4.96614E+11,2315332759,3.37247E+11,2.85376E+11,2851366379,728722586.2,57839337931,56728557241,2.69511E+11,8748152414,1.48329E+11,4900932414,92923939310,66405600000,434188103.4,3231447931,83209677241,567098793.1,11318605517,5.97682E+11,3.37563E+11,4.02761E+11,4.14936E+11,754623275.9,272152931,1.91487E+12,9409989655,5868384138,3820445517,1398225345,13636379310,60190714483,5.36871E+11,2.01504E+11,4.9486E+11,4.1348E+11
Mutant 1_4,M,1664072480,1085283200,4.0225E+12,15090862080,6941818880,57632983040,46316318720,4.81198E+11,54284518400,5.39747E+11,13023605760,1253510560,1.02976E+11,1278324160,36549739520,1.31149E+11,5.36026E+11,25430681600,66184652800,5311940480,1.70772E+12,65573440,1.39046E+11,316985120,70721044480,846663680,1063854720,9.87579E+12,21159232000,458789440,408789920,3800875520,26628320,3479001280,740570560,3.01554E+11,160060800,6690307840,1.28118E+12,5.42848E+12,2297344480,8.50573E+11,835089920,28493816320,69848652800,17941440,8709829120,10647626880,6.06481E+11,2828160960,1.76746E+11,3.00438E+11,2015053600,420761600,77633382400,43644303360,4.43131E+11,10978524160,1.34427E+11,5841368320,99721963520,25480417280,624370080,1275834560,96755916800,545843360,12772624640,9.43867E+11,2.90107E+11,5.54124E+11,2.6377E+11,846625600,109835360,4.08479E+12,3844486080,8022398720,4106091840,2314707840,11420720640,66675589120,8.21204E+11,2.60587E+11,6.07904E+11,4.58461E+11
Mutant 1_5,M,228996821.2,1017144636,3.93546E+11,1.48193E+11,9539127947,9150291921,70982416954,3.45834E+11,70835246623,3.54687E+11,3664842384,1404601060,28891683179,576398675.5,88176283974,6.33379E+11,3.49338E+11,37474276026,1.6912E+11,55911001854,1.6393E+12,0,3.67508E+11,165756821.2,48812198146,1513258013,1829218940,8.62999E+12,17523824106,1734370596,226596556.3,470646755,0,2371919470,318258145.7,9.26512E+11,681712715.2,6384706225,1.29686E+12,4.52492E+12,4594945166,5.31053E+11,352108609.3,30726179603,2.50607E+11,152512847.7,7383840000,60609462252,1.29863E+12,21992243709,47558561060,6.56641E+11,3173095894,1661194967,1.07254E+11,68413592583,1.06222E+12,8905610596,92264197086,8976919735,86074184901,37568067815,2293508079,1934835762,2.74406E+11,1121244238,12920957881,6.08994E+11,3.94252E+11,1.13886E+12,56851314437,57856158.94,84781589.4,1.86805E+12,3559400000,6978356026,4746099073,1587636821,32692634702,55384163179,1.82817E+12,5.30837E+11,1.49881E+12,9.87053E+11
Mutant 1_6,M,215239021,1139079021,3.93312E+11,1.19931E+11,5020494545,8073659860,58971443916,3.85985E+11,63964562797,3.35526E+11,4019424056,1083835944,36366290350,720187412.6,1.06106E+11,6.8833E+11,3.29937E+11,40001561958,1.02397E+11,38227737063,1.25342E+12,0,2.80264E+11,147140559.4,43123647552,1303065035,1990111189,8.82856E+12,18968179021,1568418182,282423776.2,840831328.7,20420699.3,2810924196,315210069.9,7.51057E+11,863720559.4,5664112448,1.31373E+12,4.04231E+12,3688649231,5.74141E+11,416439720.3,38289445594,2.41785E+11,173363076.9,7701285035,60778226573,1.11529E+12,22821122238,35143917203,6.38864E+11,2604254266,1309608392,99709717483,70930031888,7.85971E+11,8453485874,1.22074E+11,8020574545,91222681958,40100663497,2353623776,2046011888,2.47365E+11,819347692.3,10325435524,5.81913E+11,4.10186E+11,1.06554E+12,89593814825,60130209.79,149811049,1.22724E+12,2866238881,6829438881,5002414545,1504494685,42755481958,56785642517,1.59052E+12,4.73278E+11,1.32854E+12,8.91426E+11
Mutant 1_7,M,485243310.3,1262726897,9.6032E+11,1.31546E+11,6675548138,13518211310,45580619034,3.79453E+11,43440498759,5.05788E+11,5168131310,1114832828,50990230069,717347034.5,83903505655,3.60322E+11,5.00711E+11,36560628966,1.20017E+11,1.44153E+11,1.07641E+12,9722206.897,4.19403E+11,279752000,71635164690,1152947448,1462362897,8.16358E+12,21035661241,1685864000,633220689.7,1210296138,95956689.66,2635456552,1116508552,6.47869E+11,808516965.5,5892464552,1.40879E+12,3.44606E+12,3790952552,5.86752E+11,553457103.4,32209798621,1.6545E+11,108710069,6654242207,67479587310,1.08638E+12,24222280828,2.58353E+11,5.68326E+11,3360481931,1283489931,1.07065E+11,63033838345,6.93E+11,11665300966,1.0316E+11,4565469241,80577641931,36651147034,1244228828,1934952414,2.00298E+11,1251736000,13528603586,6.13298E+11,4.37853E+11,8.68235E+11,2.08413E+11,119976965.5,259020827.6,1.52825E+12,8034768552,6564028138,4225987034,3039641931,41184812138,57225110069,1.41782E+12,4.22855E+11,1.1779E+12,8.10694E+11
Mutant 1_8,M,374391076.9,795909076.9,3.06995E+11,1.58946E+11,15753462154,24500137846,74084928000,1.74157E+11,1.18525E+11,4.01959E+11,4479699692,2274863538,28758062769,548344000,1.05325E+11,5.92502E+11,3.95426E+11,19329313231,2.91804E+11,1.13223E+11,1.22864E+12,0,7.09819E+11,202300307.7,70402067692,2240025846,1162965692,7.93258E+12,18771240615,1158509538,381797846.2,265340769.2,0,1805927385,425178307.7,9.46899E+11,1037468923,5501862154,1.52282E+12,2.12165E+12,4037906462,4.13456E+11,409908153.8,30616492308,1.49915E+11,75796769.23,6825574154,65238616615,1.20801E+12,25690653538,93550808615,6.6485E+11,5013300000,2450118308,1.1754E+11,78313068308,1.19814E+12,13815367385,37627652923,5659149538,63705422769,19375124923,1410599231,973694000,1.6611E+11,2006051538,25413984000,7.16207E+11,1.57062E+11,1.09857E+12,33854621538,75315384.62,72370307.69,1.37896E+12,4285818769,8117057846,4234996308,989779846.2,26279271385,45526680615,1.65618E+12,5.21934E+11,1.51755E+12,1.04399E+12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
